# TODO: Use this configuration file instead of hardcoding stops in the GUI
# Doing this would allow more programatic control of the stops and their state
# Category, Name, On, Off
Swell Organ,Bourdon 16',b0 63 00 b0 62 0b b0 06 7f,b0 63 00 b0 62 0b b0 06 00
Swell Organ,Gedackt 8',b0 63 00 b0 62 28 b0 06 7f,b0 63 00 b0 62 28 b0 06 00
Swell Organ,Viola 8',b0 63 00 b0 62 22 b0 06 7f,b0 63 00 b0 62 22 b0 06 00
Swell Organ,Viola Celeste 8',b0 63 00 b0 62 23 b0 06 7f,b0 63 00 b0 62 23 b0 06 00
Swell Organ,Spitz prinzipal 4',b0 63 00 b0 62 38 b0 06 7f,b0 63 00 b0 62 38 b0 06 00
Swell Organ,Koppel flote 4',b0 63 00 b0 62 3f b0 06 7f,b0 63 00 b0 62 3f b0 06 00
Swell Organ,Nasat 2-2/3',b0 63 00 b0 62 4c b0 06 7f,b0 63 00 b0 62 4c b0 06 00
Swell Organ,Blockflote 2',b0 63 00 b0 62 54 b0 06 7f,b0 63 00 b0 62 54 b0 06 00
Swell Organ,Basson 16',b0 63 00 b0 62 72 b0 06 7f,b0 63 00 b0 62 72 b0 06 00
Swell Organ,Trompette 8',b0 63 01 b0 62 00 b0 06 7f,b0 63 01 b0 62 00 b0 06 00
Swell Organ,Tremulant,b0 63 01 b0 62 30 b0 06 7f,b0 63 01 b0 62 30 b0 06 00
Swell Organ,MIDI to Swell,b0 63 01 b0 62 5e b0 06 7f,b0 63 01 b0 62 5e b0 06 00

Great Organ,Principal 8',b1 63 00 b1 62 1f b1 06 7f,b1 63 00 b1 62 1f b1 06 00
Great Organ,Gedackt 8',b1 63 00 b1 62 28 b1 06 7f,b1 63 00 b1 62 28 b1 06 00
Great Organ,Octave 4',b1 63 00 b1 62 38 b1 06 7f,b1 63 00 b1 62 38 b1 06 00
Great Organ,Koppel flote 4',b1 63 00 b1 62 3f b1 06 7f,b1 63 00 b1 62 3f b1 06 00
Great Organ,Super Octave 2',b1 63 00 b1 62 50 b1 06 7f,b1 63 00 b1 62 50 b1 06 00
Great Organ,Mixture IV,b1 63 00 b1 62 64 b1 06 7f,b1 63 00 b1 62 64 b1 06 00
Great Organ,Chimes,b1 63 01 b1 62 21 b1 06 7f,b1 63 01 b1 62 21 b1 06 00
Great Organ,Tremulant,b1 63 01 b1 62 30 b1 06 7f,b1 63 01 b1 62 30 b1 06 00
Great Organ,Swell to Great,b1 63 01 b1 62 77 b1 06 7f,b1 63 01 b1 62 77 b1 06 00
Great Organ,MIDI to Great,b1 63 01 b1 62 5f b1 06 7f,b1 63 01 b1 62 5f b1 06 00

Pedal Organ,Bourdon 16',b2 63 00 b2 62 0c b2 06 7f,b2 63 00 b2 62 0c b2 06 00
Pedal Organ,Lieb lich gedackt 16',b2 63 00 b2 62 0f b2 06 7f,b2 63 00 b2 62 0f b2 06 00
Pedal Organ,Octave 8',b2 63 00 b2 62 1f b2 06 7f,b2 63 00 b2 62 1f b2 06 00
Pedal Organ,Gedackt 8',b2 63 00 b2 62 28 b2 06 7f,b2 63 00 b2 62 28 b2 06 00
Pedal Organ,Choral bass 4',b2 63 00 b2 62 38 b2 06 7f,b2 63 00 b2 62 38 b2 06 00
Pedal Organ,Mixture II,b2 63 00 b2 62 64 b2 06 7f,b2 63 00 b2 62 64 b2 06 00
Pedal Organ,Basson 16',b2 63 00 b2 62 72 b2 06 7f,b2 63 00 b2 62 72 b2 06 00
Pedal Organ,Trompette 8',b2 63 01 b2 62 00 b2 06 7f,b2 63 01 b2 62 00 b2 06 00
Pedal Organ,Great to Pedal,b2 63 01 b2 62 78 b2 06 7f,b2 63 01 b2 62 78 b2 06 00
Pedal Organ,Swell to Pedal,b2 63 01 b2 62 77 b2 06 7f,b2 63 01 b2 62 77 b2 06 00
Pedal Organ,MIDI to Pedal,b2 63 01 b2 62 60 b2 06 7f,b2 63 01 b2 62 60 b2 06 00

General,Memory B
General,Add Stops
General,Bass Coupler,b7 63 01 b7 62 44 b7 06 7f,b7 63 01 b7 62 44 b7 06 00
General,Melody Coupler,b7 63 01 b7 62 45 b7 06 7f,b7 63 01 b7 62 45 b7 06 00
General,Romantic Tuning Off,b7 63 01 b7 62 65 b7 06 7f,b7 63 01 b7 62 65 b7 06 00
General,Reverb
General,.,b7 63 01 b7 62 31 b7 06 7f,b7 63 01 b7 62 31 b7 06 00
General,Console Speakers Off,b7 63 01 b7 62 69 b7 06 7f,b7 63 01 b7 62 69 b7 06 00
General,External Speakers Off,b7 63 01 b7 62 74 b7 06 7f,b7 63 01 b7 62 74 b7 06 00
